time,OKtime,date
2024_01_28__00_07_01,2419621,0.40901
2024_01_28__00_07_01,2419621,0.40901
2024_01_28__00_07_02,2419622,0.40901
2024_01_28__00_07_02,2419622,0.40901
2024_01_28__00_07_02,2419622,0.40901
2024_01_28__00_07_02,2419622,0.408838
2024_01_28__00_07_02,2419622,0.40901
2024_01_28__00_07_03,2419623,0.408838
2024_01_28__00_07_03,2419623,0.40901
2024_01_28__00_07_03,2419623,0.408838
2024_01_28__00_07_03,2419623,0.40901
2024_01_28__00_07_03,2419623,0.40901
2024_01_28__00_07_04,2419624,0.40901
2024_01_28__00_07_04,2419624,0.40901
2024_01_28__00_07_04,2419624,0.40901
2024_01_28__00_07_04,2419624,0.40901
2024_01_28__00_07_04,2419624,0.40901
2024_01_28__00_07_05,2419625,0.40901
2024_01_28__00_07_05,2419625,0.40901
2024_01_28__00_07_05,2419625,0.408838
2024_01_28__00_07_05,2419625,0.408838
2024_01_28__00_07_05,2419625,0.40901
2024_01_28__00_07_06,2419626,0.40901
2024_01_28__00_07_06,2419626,0.40901
2024_01_28__00_07_06,2419626,0.40901
2024_01_28__00_07_06,2419626,0.40901
2024_01_28__00_07_06,2419626,0.40901
2024_01_28__00_07_07,2419627,0.40901
2024_01_28__00_07_08,2419628,0.40901
2024_01_28__00_07_08,2419628,0.40901
2024_01_28__00_07_08,2419628,0.40901
2024_01_28__00_07_08,2419628,0.40901
2024_01_28__00_07_08,2419628,0.413652
2024_01_28__00_07_08,2419628,0.40901
2024_01_28__00_07_09,2419629,0.40901
2024_01_28__00_07_09,2419629,0.40901
2024_01_28__00_07_09,2419629,0.40901
2024_01_28__00_07_09,2419629,0.40901
2024_01_28__00_07_09,2419629,0.40901
2024_01_28__00_07_10,2419630,0.489127
2024_01_28__00_07_10,2419630,0.562367
2024_01_28__00_07_10,2419630,0.40901
2024_01_28__00_07_10,2419630,0.40901
2024_01_28__00_07_10,2419630,0.40901
2024_01_28__00_07_11,2419631,0.408838
2024_01_28__00_07_11,2419631,0.408838
2024_01_28__00_07_11,2419631,0.40901
2024_01_28__00_07_11,2419631,0.40901
2024_01_28__00_07_11,2419631,0.40901
2024_01_28__00_07_12,2419632,0.40901
2024_01_28__00_07_12,2419632,0.40901
2024_01_28__00_07_12,2419632,0.40901
2024_01_28__00_07_12,2419632,0.408838
2024_01_28__00_07_12,2419632,0.40901
2024_01_28__00_07_13,2419633,0.400413
2024_01_28__00_07_13,2419633,0.40901
2024_01_28__00_07_13,2419633,0.40901
2024_01_28__00_07_13,2419633,0.40901
2024_01_28__00_07_13,2419633,0.40901
2024_01_28__00_07_14,2419634,0.40901
2024_01_28__00_07_14,2419634,0.40901
2024_01_28__00_07_14,2419634,0.40901
2024_01_28__00_07_14,2419634,0.40901
2024_01_28__00_07_14,2419634,0.40901
2024_01_28__00_07_15,2419635,0.40901
2024_01_28__00_07_15,2419635,0.40901
2024_01_28__00_07_15,2419635,0.40901
2024_01_28__00_07_15,2419635,0.40901
2024_01_28__00_07_16,2419636,0.40901
2024_01_28__00_07_16,2419636,0.40901
2024_01_28__00_07_16,2419636,0.40901
2024_01_28__00_07_16,2419636,0.40901
2024_01_28__00_07_16,2419636,0.40901
2024_01_28__00_07_17,2419637,0.408838
2024_01_28__00_07_17,2419637,0.40901
2024_01_28__00_07_17,2419637,0.40901
2024_01_28__00_07_17,2419637,0.408838
2024_01_28__00_07_17,2419637,0.40901
2024_01_28__00_07_18,2419638,0.40901
2024_01_28__00_07_18,2419638,0.40901
2024_01_28__00_07_18,2419638,0.40901
2024_01_28__00_07_18,2419638,0.40901
2024_01_28__00_07_18,2419638,0.408838
2024_01_28__00_07_19,2419639,0.40901
2024_01_28__00_07_19,2419639,0.408838
2024_01_28__00_07_19,2419639,0.408838
2024_01_28__00_07_19,2419639,0.40901
2024_01_28__00_07_19,2419639,0.40901
2024_01_28__00_07_20,2419640,0.40901
2024_01_28__00_07_20,2419640,0.40901
2024_01_28__00_07_20,2419640,0.40901
2024_01_28__00_07_20,2419640,0.408838
2024_01_28__00_07_20,2419640,0.40901
2024_01_28__00_07_21,2419641,0.408838
2024_01_28__00_07_21,2419641,0.408838
2024_01_28__00_07_21,2419641,0.40901
2024_01_28__00_07_21,2419641,0.40901
2024_01_28__00_07_21,2419641,0.40901
