time,OKtime,date
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_49,2433529,999.9
2024_01_28__03_58_50,2433530,999.9
2024_01_28__03_58_50,2433530,999.9
2024_01_28__03_58_50,2433530,999.9
2024_01_28__03_58_50,2433530,999.9
2024_01_28__03_58_50,2433530,999.9
2024_01_28__03_58_50,2433530,999.9
2024_01_28__03_58_50,2433530,999.9
2024_01_28__03_58_50,2433530,999.9
2024_01_28__03_58_50,2433530,999.9
2024_01_28__03_58_50,2433530,999.9
2024_01_28__03_58_50,2433530,999.9
2024_01_28__03_58_50,2433530,999.9
2024_01_28__03_58_50,2433530,999.9
2024_01_28__03_58_50,2433530,999.9
2024_01_28__03_58_50,2433530,999.9
